U n e m p l o y m e n t   U N R A T E,R e a l   G D P   G D P C 1,I n f l a t i o n   C O R E S T I C K M 1 5 9 S F R B A T L,1 0 - 3   Y i e l d   C u r v e   T 1 0 Y 3 M
,,,1.73
,,,1.65
,,,1.71
,,,1.62
,,,1.56
,,,1.52
,,,1.52
,,,1.55
,,,1.5
,,,1.45
,,,1.47
,,,1.45
,,,1.5
,,,1.47
,,,
,,,1.5
,,,1.59
,,,1.6
,,,1.67
5.3,,3.051784638,
,,,1.64
,,,1.66
,,,1.6
,,,1.55
,,,1.67
,,,1.68
,,,1.72
,,,1.77
,,,1.77
,,,1.74
,,,1.71
,,,1.72
,,,1.73
,,,1.72
,,,1.7
,,,1.71
,,,1.67
,,,1.67
,,,1.63
,,,1.55
5.5,11914.063,3.087421545,1.47
,,,1.48
,,,1.54
,,,
,,,1.75
,,,1.7
,,,1.66
,,,1.66
,,,1.64
,,,1.57
,,,1.57
,,,1.57
,,,1.57
,,,1.47
,,,1.5
,,,1.54
,,,1.5
,,,1.56
,,,1.58
,,,1.56
,,,1.56
,,,1.55
,,,1.48
5.1,,3.083473301,1.4
,,,1.3
,,,1.33
,,,1.35
,,,1.37
,,,1.41
,,,1.35
,,,1.31
,,,1.4
,,,1.42
,,,1.43
,,,1.38
,,,1.39
,,,1.41
,,,1.47
,,,1.48
,,,1.57
,,,1.59
,,,1.58
,,,1.59
,,,1.62
,,,1.67
5.2,,3.063090207,
,,,
,,,1.6
,,,1.62
,,,1.64
,,,1.61
,,,1.61
,,,1.65
,,,1.63
,,,1.6
,,,1.53
,,,1.53
,,,1.5
,,,1.55
,,,1.62
,,,1.56
,,,1.52
,,,1.6
,,,1.64
,,,1.66
,,,1.64
,,,1.58
5.2,12037.775,2.943741816,1.55
,,,1.58
,,,1.57
,,,1.47
,,,1.42
,,,1.41
,,,1.43
,,,1.46
,,,1.42
,,,
,,,1.39
,,,1.43
,,,1.39
,,,1.38
,,,1.38
,,,1.4
,,,1.43
,,,1.43
,,,1.4
,,,1.37
,,,1.26
,,,1.26
,,,1.2
5.4,,2.980390413,1.21
,,,1.17
,,,1.11
,,,1.13
,,,1.1
,,,1.11
,,,
,,,1.01
,,,1.03
,,,0.98
,,,1.03
,,,1.02
,,,1.0
,,,0.97
,,,0.97
,,,0.97
,,,0.95
,,,0.97
,,,0.99
,,,
,,,0.93
5.4,,3.05642197,
,,,1.0
,,,1.01
,,,1.08
,,,1.18
,,,1.23
,,,1.25
,,,1.27
,,,1.42
,,,1.43
,,,1.41
,,,1.42
,,,1.42
,,,1.43
,,,1.35
,,,1.33
,,,1.24
,,,1.27
,,,
,,,1.25
,,,1.19
,,,1.1
,,,1.22
5.3,12115.472,2.91241515,
,,,1.35
,,,1.35
,,,1.37
,,,1.41
,,,1.44
,,,1.39
,,,1.46
,,,1.55
,,,1.34
,,,1.37
,,,1.41
,,,1.42
,,,
,,,1.34
,,,1.38
,,,1.42
,,,1.48
,,,1.48
,,,1.46
,,,1.45
,,,1.43
,,,1.38
5.2,,2.802464903,
,,,1.35
,,,1.35
,,,1.34
,,,1.35
,,,1.29
,,,1.26
,,,1.29
,,,1.23
,,,1.19
,,,1.18
,,,
,,,1.16
,,,1.19
,,,1.28
,,,1.27
,,,1.23
,,,1.27
,,,1.34
,,,1.36
,,,1.34
5.2,,2.854608076,
,,,1.34
,,,1.35
,,,1.39
,,,1.39
,,,1.35
,,,1.36
,,,1.39
,,,1.39
,,,1.46
,,,1.47
,,,1.47
,,,1.47
,,,1.45
,,,1.41
,,,1.33
,,,1.32
,,,1.31
,,,1.45
,,,1.53
,,,
,,,1.57
5.1,12317.221,2.910920374,1.58
,,,1.58
,,,1.59
,,,1.63
,,,1.61
,,,1.66
,,,1.67
,,,1.62
,,,1.67
,,,1.68
,,,1.57
,,,1.61
,,,1.57
,,,1.55
,,,1.51
,,,1.48
,,,1.52
,,,1.61
,,,1.63
,,,1.57
,,,1.43
,,,1.44
4.9,,2.870203143,1.45
,,,1.44
,,,1.45
,,,1.46
,,,1.54
,,,1.51
,,,1.48
,,,1.41
,,,1.47
,,,1.49
,,,1.54
,,,1.5
,,,1.33
,,,1.31
,,,1.62
,,,1.58
,,,1.56
,,,
,,,1.61
,,,1.62
,,,1.72
,,,1.71
5.0,,2.828445596,
,,,1.59
,,,1.58
,,,1.53
,,,1.51
,,,1.44
,,,1.49
,,,1.52
,,,1.58
,,,1.51
,,,1.43
,,,1.37
,,,1.38
,,,1.37
,,,1.32
,,,1.29
,,,1.34
,,,1.35
,,,1.38
,,,1.33
,,,1.31
,,,1.26
4.9,12471.01,2.752239262,1.27
,,,1.22
,,,1.17
,,,
,,,1.15
,,,1.15
,,,1.14
,,,1.11
,,,1.09
,,,1.04
,,,1.04
,,,1.03
,,,1.01
,,,1.0
,,,1.0
,,,0.97
,,,0.94
,,,0.93
,,,0.94
,,,0.92
,,,0.87
,,,0.81
,,,0.77
4.8,,2.653670773,0.92
,,,0.94
,,,0.94
,,,0.92
,,,0.94
,,,1.09
,,,1.05
,,,1.08
,,,1.04
,,,0.93
,,,0.98
,,,0.98
,,,0.96
,,,1.0
,,,1.03
,,,1.13
,,,1.11
,,,1.1
,,,1.1
,,,1.06
,,,1.1
4.9,,2.544804261,
,,,1.1
,,,1.19
,,,1.19
,,,1.2
,,,1.17
,,,1.18
,,,1.26
,,,1.26
,,,1.19
,,,1.2
,,,1.02
,,,1.0
,,,1.01
,,,1.03
,,,1.04
,,,1.08
,,,1.1
,,,1.2
,,,1.09
,,,1.03
,,,1.06
4.7,12577.495,2.618900715,0.94
,,,0.94
,,,0.98
,,,0.88
,,,0.88
,,,0.99
,,,0.95
,,,1.01
,,,
,,,0.99
,,,1.04
,,,1.02
,,,1.11
,,,1.06
,,,1.07
,,,0.96
,,,0.91
,,,0.86
,,,0.83
,,,0.73
,,,0.72
,,,0.67
,,,0.63
4.6,,2.548580799,
,,,0.65
,,,0.7
,,,0.68
,,,0.59
,,,0.59
,,,0.59
,,,
,,,0.59
,,,0.6
,,,0.59
,,,0.54
,,,0.54
,,,0.54
,,,0.56
,,,0.57
,,,0.57
,,,0.55
,,,0.6
,,,
,,,0.64
4.7,,2.621535622,0.59
,,,0.6
,,,0.57
,,,0.57
,,,0.62
,,,0.67
,,,0.68
,,,0.69
,,,0.62
,,,0.56
,,,0.55
,,,0.54
,,,0.56
,,,0.52
,,,0.39
,,,0.26
,,,0.27
,,,0.38
,,,
,,,0.4
,,,0.31
,,,0.35
,,,0.39
4.6,12703.742,2.673178027,
,,,0.35
,,,0.29
,,,0.27
,,,0.32
,,,0.36
,,,0.35
,,,0.27
,,,0.24
,,,0.27
,,,0.35
,,,0.39
,,,
,,,0.43
,,,0.41
,,,0.43
,,,0.53
,,,0.41
,,,0.46
,,,0.46
,,,0.38
,,,0.34
4.6,,2.691552555,
,,,0.31
,,,0.3
,,,0.46
,,,0.48
,,,0.45
,,,0.43
,,,0.43
,,,0.31
,,,0.3
,,,0.27
,,,
,,,0.24
,,,0.29
,,,0.3
,,,0.33
,,,0.3
,,,0.42
,,,0.32
,,,0.31
,,,0.3
4.7,,2.672304266,
,,,0.46
,,,0.54
,,,0.57
,,,0.6
,,,0.58
,,,0.56
,,,0.58
,,,0.54
,,,0.48
,,,0.49
,,,0.42
,,,0.42
,,,0.41
,,,0.4
,,,0.38
,,,0.4
,,,0.41
,,,0.46
,,,0.46
,,,0.47
,,,0.54
,,,0.51
4.3,12821.339,2.640497846,0.5
,,,0.46
,,,0.39
,,,0.41
,,,0.46
,,,0.52
,,,0.52
,,,
,,,0.47
,,,0.47
,,,0.52
,,,0.55
,,,0.54
,,,0.57
,,,0.61
,,,0.59
,,,0.6
,,,0.59
,,,0.72
,,,0.74
,,,0.74
,,,0.68
4.4,,2.611332031,0.65
,,,0.57
,,,0.59
,,,0.56
,,,0.55
,,,0.57
,,,0.65
,,,0.58
,,,0.52
,,,0.49
,,,0.5
,,,0.44
,,,0.42
,,,0.4
,,,0.41
,,,0.42
,,,
,,,0.42
,,,0.47
,,,0.51
,,,0.53
4.5,,2.600204475,0.45
,,,0.48
,,,0.44
,,,0.47
,,,0.46
,,,0.42
,,,0.42
,,,0.37
,,,0.33
,,,0.3
,,,0.22
,,,0.25
,,,0.31
,,,0.31
,,,0.3
,,,0.35
,,,0.35
,,,0.42
,,,0.44
,,,0.45
,,,0.31
,,,0.34
4.5,12982.752,2.603335947,0.35
,,,0.35
,,,
,,,0.3
,,,0.34
,,,0.34
,,,0.34
,,,0.36
,,,0.33
,,,0.33
,,,0.34
,,,0.33
,,,0.37
,,,0.39
,,,0.36
,,,0.39
,,,0.36
,,,0.37
,,,0.41
,,,0.43
,,,0.45
,,,0.43
,,,0.4
4.5,,2.633982138,
,,,0.33
,,,0.33
,,,0.35
,,,0.41
,,,0.41
,,,0.34
,,,0.34
,,,0.38
,,,0.4
,,,0.37
,,,0.33
,,,0.35
,,,0.35
,,,0.34
,,,0.31
,,,0.22
,,,0.16
,,,0.2
,,,0.13
,,,0.18
,,,0.09
4.6,,2.594217982,0.13
,,,0.19
,,,0.2
,,,0.16
,,,
,,,0.1
,,,0.07
,,,-0.02
,,,-0.02
,,,0.04
,,,0.11
,,,0.14
,,,0.1
,,,0.07
,,,-0.13
,,,-0.08
,,,0.02
,,,0.09
,,,0.08
,,,0.05
,,,0.05
,,,0.07
4.5,13191.67,2.535056337,0.1
,,,0.09
,,,-0.07
,,,0.06
,,,0.19
,,,0.67
,,,0.89
,,,
,,,0.74
,,,0.56
,,,0.43
,,,0.79
,,,0.53
,,,0.62
,,,0.59
,,,0.64
,,,0.73
,,,0.67
,,,0.57
,,,0.32
,,,0.22
,,,0.31
4.4,,2.523581703,
,,,0.23
,,,0.28
,,,0.27
,,,0.24
,,,0.29
,,,0.3
,,,0.27
,,,
,,,0.29
,,,0.35
,,,0.33
,,,0.45
,,,0.41
,,,0.39
,,,0.36
,,,0.25
,,,0.23
,,,0.26
,,,
,,,0.26
,,,0.17
4.4,,2.437823,0.18
,,,0.11
,,,0.13
,,,0.14
,,,0.23
,,,0.17
,,,0.13
,,,0.05
,,,0.11
,,,0.09
,,,0.13
,,,0.12
,,,0.12
,,,0.09
,,,0.13
,,,0.2
,,,0.23
,,,0.29
,,,
,,,0.22
,,,0.12
,,,0.1
,,,0.17
4.3,13315.597,2.383116,
,,,0.2
,,,0.26
,,,0.26
,,,0.33
,,,0.38
,,,0.39
,,,0.34
,,,0.29
,,,0.19
,,,0.22
,,,
,,,0.3
,,,0.39
,,,0.38
,,,0.28
,,,0.23
,,,0.23
,,,0.21
,,,0.18
,,,0.18
4.4,,2.316234,0.22
,,,0.26
,,,0.35
,,,0.4
,,,0.44
,,,0.4
,,,0.38
,,,0.42
,,,0.43
,,,0.52
,,,
,,,0.47
,,,0.46
,,,0.51
,,,0.51
,,,0.38
,,,0.44
,,,0.51
,,,0.7
,,,0.63
4.2,,2.237507,0.69
,,,0.69
,,,0.77
,,,0.79
,,,0.71
,,,0.65
,,,0.58
,,,0.6
,,,0.59
,,,0.56
,,,0.54
,,,0.56
,,,0.61
,,,0.6
,,,0.66
,,,0.69
,,,0.7
,,,0.67
,,,0.7
,,,0.7
,,,0.77
,,,0.73
,,,0.76
4.3,13426.748,2.226592,0.83
,,,0.77
,,,0.8
,,,0.71
,,,0.72
,,,0.63
,,,0.63
,,,0.74
,,,0.8
,,,0.83
,,,0.86
,,,0.89
,,,0.82
,,,0.78
,,,0.81
,,,0.85
,,,0.83
,,,0.76
,,,0.72
,,,0.76
,,,0.71
,,,0.81
4.2,,2.153318,
,,,0.76
,,,0.79
,,,0.79
,,,0.9
,,,0.92
,,,0.94
,,,0.97
,,,0.91
,,,0.82
,,,0.98
,,,0.95
,,,1.02
,,,0.97
,,,0.99
,,,0.91
,,,0.86
,,,0.85
,,,0.89
,,,0.97
,,,0.98
,,,
4.3,,2.070264,1.01
,,,1.06
,,,1.15
,,,1.25
,,,1.17
,,,1.21
,,,1.27
,,,1.25
,,,1.28
,,,1.22
,,,1.24
,,,1.27
,,,1.15
,,,1.15
,,,1.16
,,,1.21
,,,1.27
,,,1.31
,,,1.22
,,,1.08
,,,1.09
,,,1.03
4.3,13604.771,2.111144,1.17
,,,1.13
,,,
,,,1.16
,,,1.25
,,,1.17
,,,1.15
,,,1.0
,,,1.0
,,,1.02
,,,1.02
,,,1.0
,,,0.99
,,,1.01
,,,1.07
,,,1.17
,,,1.19
,,,1.18
,,,1.12
,,,1.1
,,,1.16
,,,1.17
4.2,,2.094839,
,,,1.07
,,,1.11
,,,1.18
,,,1.14
,,,1.22
,,,1.17
,,,1.21
,,,1.14
,,,1.29
,,,1.24
,,,1.14
,,,1.06
,,,1.12
,,,1.14
,,,1.04
,,,0.88
,,,0.86
,,,0.8
,,,0.82
,,,0.87
,,,0.94
,,,1.0
4.2,,2.070746,1.02
,,,1.11
,,,0.97
,,,
,,,1.1
,,,1.1
,,,1.16
,,,1.13
,,,1.12
,,,1.13
,,,1.19
,,,1.2
,,,1.2
,,,1.1
,,,1.15
,,,1.09
,,,1.05
,,,0.97
,,,0.96
,,,1.04
,,,1.14
,,,1.02
4.1,13827.98,2.04962,1.02
,,,1.08
,,,1.16
,,,1.23
,,,1.21
,,,1.22
,,,
,,,1.14
,,,1.14
,,,1.15
,,,1.05
,,,0.97
,,,1.03
,,,1.04
,,,1.06
,,,1.14
,,,1.08
,,,1.09
,,,1.05
,,,1.01
,,,0.9
4.1,,2.147821,0.9
,,,0.9
,,,0.89
,,,0.85
,,,0.78
,,,0.75
,,,0.78
,,,0.8
,,,
,,,0.7
,,,0.65
,,,0.68
,,,0.8
,,,0.83
,,,0.84
,,,0.82
,,,0.81
,,,0.8
,,,
,,,0.82
,,,0.85
,,,0.88
4.0,,2.167848,0.94
,,,0.99
,,,0.92
,,,0.94
,,,0.89
,,,0.93
,,,0.89
,,,0.78
,,,0.72
,,,0.83
,,,0.9
,,,0.92
,,,0.86
,,,0.73
,,,0.79
,,,0.83
,,,0.94
,,,
,,,0.93
,,,1.02
,,,1.17
,,,1.17
,,,1.12
4.0,13878.147,2.335519,
,,,1.1
,,,1.06
,,,1.18
,,,1.16
,,,1.14
,,,1.15
,,,1.24
,,,1.27
,,,1.22
,,,1.28
,,,
,,,1.19
,,,1.22
,,,1.31
,,,1.32
,,,1.14
,,,1.13
,,,1.11
,,,1.09
,,,1.01
,,,0.92
4.1,,2.379221,0.91
,,,0.94
,,,0.86
,,,0.86
,,,0.92
,,,0.9
,,,0.9
,,,1.0
,,,0.97
,,,0.88
,,,0.81
,,,0.83
,,,0.84
,,,0.74
,,,
,,,0.54
,,,0.62
,,,0.55
,,,0.57
,,,0.57
,,,0.64
4.0,,2.483286,0.63
,,,0.64
,,,0.6
,,,0.57
,,,0.56
,,,0.55
,,,0.53
,,,0.52
,,,0.47
,,,0.44
,,,0.44
,,,0.39
,,,0.31
,,,0.23
,,,0.22
,,,0.22
,,,0.18
,,,0.29
,,,0.33
,,,0.29
,,,0.29
,,,0.18
,,,0.15
3.8,14130.908,2.409239,
,,,0.13
,,,0.07
,,,0.04
,,,0.05
,,,-0.04
,,,-0.05
,,,0.06
,,,0.14
,,,0.13
,,,0.04
,,,0.19
,,,0.24
,,,0.18
,,,0.2
,,,
,,,0.2
,,,0.35
,,,0.39
,,,0.48
,,,0.41
4.0,,2.558647,0.29
,,,0.4
,,,0.49
,,,0.56
,,,0.54
,,,0.38
,,,0.39
,,,0.33
,,,0.29
,,,0.37
,,,0.22
,,,0.23
,,,0.43
,,,0.64
,,,0.62
,,,0.43
,,,0.44
,,,0.55
,,,0.54
,,,0.5
,,,
,,,0.51
,,,0.66
4.0,,2.701492,0.46
,,,0.28
,,,0.14
,,,0.15
,,,0.21
,,,0.22
,,,0.21
,,,0.16
,,,0.23
,,,0.24
,,,0.21
,,,0.16
,,,0.16
,,,0.24
,,,0.3
,,,0.28
,,,0.33
,,,0.29
,,,0.27
,,,0.3
,,,0.19
,,,0.15
4.0,14145.312,2.71297,
,,,0.0
,,,
,,,0.0
,,,0.03
,,,-0.03
,,,-0.06
,,,-0.04
,,,-0.08
,,,-0.17
,,,-0.07
,,,0.02
,,,0.0
,,,-0.02
,,,-0.17
,,,-0.12
,,,-0.17
,,,-0.16
,,,-0.14
,,,-0.2
,,,-0.16
,,,-0.23
4.1,,2.874818,-0.25
,,,-0.27
,,,-0.28
,,,-0.32
,,,-0.31
,,,-0.33
,,,-0.44
,,,-0.49
,,,-0.5
,,,-0.49
,,,-0.47
,,,-0.44
,,,-0.46
,,,-0.49
,,,-0.51
,,,-0.5
,,,-0.56
,,,-0.56
,,,-0.58
,,,-0.54
,,,-0.5
,,,-0.51
,,,-0.58
3.9,,2.897082,-0.59
,,,
,,,-0.58
,,,-0.49
,,,-0.44
,,,-0.41
,,,-0.34
,,,-0.31
,,,-0.35
,,,-0.35
,,,-0.3
,,,-0.27
,,,-0.31
,,,-0.25
,,,-0.28
,,,-0.31
,,,-0.34
,,,-0.37
,,,-0.37
,,,-0.43
,,,-0.43
3.9,14229.765,2.919941,
,,,-0.44
,,,-0.37
,,,-0.34
,,,-0.38
,,,-0.42
,,,
,,,-0.47
,,,-0.46
,,,-0.46
,,,-0.46
,,,-0.54
,,,-0.62
,,,-0.64
,,,-0.66
,,,-0.67
,,,-0.75
,,,-0.72
,,,-0.72
,,,-0.67
,,,-0.63
,,,-0.65
,,,-0.61
3.9,,2.870145,-0.63
,,,-0.63
,,,-0.55
,,,-0.55
,,,-0.55
,,,-0.54
,,,-0.58
,,,-0.55
,,,-0.62
,,,-0.61
,,,-0.66
,,,-0.67
,,,-0.64
,,,-0.68
,,,-0.69
,,,-0.74
,,,
,,,-0.73
,,,-0.69
,,,-0.69
,,,-0.69
,,,-0.73
3.9,,2.972089,-0.71
,,,-0.62
,,,-0.65
,,,-0.77
,,,-0.79
,,,-0.74
,,,-0.71
,,,-0.7
,,,-0.77
,,,-0.83
,,,-0.82
,,,-0.78
,,,-0.74
,,,-0.74
,,,-0.35
,,,-0.25
,,,
,,,-0.81
,,,-0.64
,,,-0.74
,,,-0.77
4.2,14183.12,2.878468,
,,,-0.95
,,,-0.55
,,,-0.34
,,,-0.19
,,,-0.25
,,,-0.26
,,,-0.19
,,,-0.17
,,,-0.08
,,,
,,,-0.14
,,,-0.17
,,,-0.16
,,,-0.05
,,,0.02
,,,0.06
,,,0.05
,,,0.01
,,,0.12
,,,0.21
,,,0.22
,,,0.2
4.2,,2.979742,0.1
,,,0.11
,,,0.12
,,,0.15
,,,0.03
,,,0.02
,,,-0.03
,,,0.01
,,,0.02
,,,0.06
,,,0.11
,,,0.09
,,,
,,,0.07
,,,0.12
,,,0.14
,,,0.21
,,,0.24
,,,0.14
,,,0.07
4.3,,2.961886,0.03
,,,0.11
,,,0.16
,,,0.2
,,,0.23
,,,0.21
,,,0.23
,,,0.26
,,,0.29
,,,0.3
,,,0.29
,,,0.24
,,,0.29
,,,0.29
,,,0.46
,,,0.47
,,,0.51
,,,0.56
,,,0.65
,,,0.63
,,,0.66
,,,0.63
4.4,14271.694,3.091112,
,,,0.76
,,,0.79
,,,0.84
,,,0.87
,,,0.95
,,,1.0
,,,1.15
,,,1.04
,,,1.16
,,,
,,,1.13
,,,1.09
,,,1.23
,,,1.4
,,,1.52
,,,1.45
,,,1.42
,,,1.44
,,,1.37
,,,1.49
,,,1.4
4.3,,3.07401,1.38
,,,1.42
,,,1.38
,,,1.47
,,,1.47
,,,1.54
,,,1.48
,,,1.57
,,,1.73
,,,1.75
,,,1.87
,,,1.91
,,,1.89
,,,1.8
,,,1.76
,,,1.78
,,,1.77
,,,1.82
,,,1.86
,,,
,,,1.83
,,,1.86
,,,1.8
4.5,,3.200619,1.72
,,,1.67
,,,1.66
,,,1.65
,,,1.7
,,,1.74
,,,1.72
,,,1.71
,,,1.73
,,,1.7
,,,1.75
,,,1.75
,,,1.75
,,,1.75
,,,1.71
,,,1.69
,,,1.7
,,,1.78
,,,1.74
,,,1.71
,,,1.77
4.6,14214.516,3.207811,
,,,1.7
,,,1.75
,,,
,,,1.79
,,,1.78
,,,1.72
,,,1.69
,,,1.73
,,,1.67
,,,1.65
,,,1.57
,,,1.61
,,,1.58
,,,1.58
,,,1.62
,,,1.57
,,,1.57
,,,1.64
,,,1.63
,,,1.58
,,,1.54
,,,1.53
4.9,,3.251713,1.58
,,,1.64
,,,1.68
,,,1.67
,,,1.68
,,,1.5
,,,1.59
,,,1.56
,,,1.52
,,,1.54
,,,1.57
,,,1.56
,,,1.48
,,,1.49
,,,1.48
,,,1.53
,,,1.49
,,,1.51
,,,1.49
,,,1.44
,,,1.36
,,,1.43
,,,1.48
5.0,,3.388746,
,,,
,,,1.55
,,,1.56
,,,1.52
,,,1.53
,,,1.58
,,,
,,,
,,,1.9
,,,1.93
,,,2.04
,,,2.24
,,,2.5
,,,2.53
,,,2.45
,,,2.35
,,,2.32
,,,2.27
,,,2.2
,,,2.2
5.3,14253.574,3.484066,2.18
,,,2.27
,,,2.27
,,,2.32
,,,2.33
,,,
,,,2.4
,,,2.39
,,,2.42
,,,2.43
,,,2.37
,,,2.37
,,,2.37
,,,2.39
,,,2.44
,,,2.41
,,,2.46
,,,2.44
,,,2.42
,,,2.39
,,,2.41
,,,2.39
,,,2.25
5.5,,3.601999,2.18
,,,2.36
,,,2.3
,,,2.45
,,,2.42
,,,2.48
,,,2.51
,,,
,,,2.57
,,,2.67
,,,2.87
,,,2.96
,,,2.86
,,,2.93
,,,3.02
,,,
,,,3.09
,,,3.07
,,,3.06
,,,3.11
,,,2.99
,,,3.0
5.7,,3.564921,
,,,2.97
,,,2.96
,,,3.15
,,,3.29
,,,3.51
,,,3.46
,,,3.47
,,,3.35
,,,3.44
,,,3.51
,,,3.52
,,,3.45
,,,3.39
,,,3.39
,,,3.41
,,,3.46
,,,
,,,3.47
,,,3.39
,,,3.43
,,,3.33
5.7,14372.785,3.557463,
,,,3.46
,,,3.43
,,,3.46
,,,3.41
,,,3.42
,,,3.42
,,,3.32
,,,3.34
,,,3.33
,,,3.28
,,,3.27
,,,3.34
,,,3.32
,,,
,,,3.26
,,,3.34
,,,3.35
,,,3.38
,,,3.36
,,,3.3
,,,3.27
,,,3.31
5.7,,3.527436,3.26
,,,3.17
,,,3.16
,,,3.18
,,,3.2
,,,3.17
,,,3.16
,,,3.22
,,,3.25
,,,3.2
,,,3.12
,,,
,,,3.12
,,,3.12
,,,3.12
,,,3.08
,,,3.09
,,,3.16
,,,3.07
,,,3.09
5.7,,3.46848,3.21
,,,3.21
,,,3.22
,,,3.28
,,,3.44
,,,3.52
,,,3.47
,,,3.48
,,,3.46
,,,3.54
,,,3.49
,,,3.44
,,,3.48
,,,3.56
,,,3.55
,,,3.56
,,,3.56
,,,3.54
,,,3.54
,,,3.63
,,,
5.9,14460.848,3.465822,3.65
,,,3.56
,,,3.51
,,,3.5
,,,3.46
,,,3.5
,,,3.49
,,,3.53
,,,3.5
,,,3.47
,,,3.43
,,,3.46
,,,3.51
,,,3.51
,,,3.48
,,,3.47
,,,3.45
,,,3.39
,,,3.36
,,,3.33
,,,3.35
,,,3.34
5.8,,3.452132,3.31
,,,3.36
,,,3.32
,,,3.32
,,,3.33
,,,3.48
,,,3.43
,,,3.38
,,,3.44
,,,3.54
,,,3.52
,,,3.45
,,,3.51
,,,3.44
,,,3.43
,,,3.39
,,,3.42
,,,3.42
,,,
,,,3.39
,,,3.36
,,,3.31
,,,3.34
5.8,,3.241692,
,,,3.29
,,,3.28
,,,3.33
,,,3.3
,,,3.36
,,,3.31
,,,3.27
,,,3.24
,,,3.22
,,,3.12
,,,3.15
,,,3.15
,,,3.05
,,,3.12
,,,3.07
,,,3.13
,,,3.15
,,,3.05
,,,3.14
,,,3.16
5.8,14519.633,3.263706,3.13
,,,3.05
,,,3.06
,,,
,,,3.18
,,,3.11
,,,3.06
,,,2.94
,,,2.94
,,,2.92
,,,2.94
,,,3.03
,,,2.99
,,,2.94
,,,2.9
,,,2.81
,,,2.77
,,,2.8
,,,2.73
,,,2.74
,,,2.9
,,,2.93
,,,2.8
5.7,,3.146595,2.79
,,,2.7
,,,2.65
,,,2.77
,,,2.76
,,,2.78
,,,2.65
,,,2.54
,,,2.49
,,,2.42
,,,2.55
,,,2.7
,,,2.62
,,,2.55
,,,2.57
,,,2.65
,,,2.6
,,,2.54
,,,2.61
,,,2.55
,,,2.48
,,,2.45
5.7,,3.026606,
,,,
,,,2.34
,,,2.33
,,,2.3
,,,2.39
,,,2.36
,,,2.32
,,,2.38
,,,2.29
,,,2.23
,,,2.19
,,,2.17
,,,2.18
,,,2.14
,,,2.14
,,,2.05
,,,2.04
,,,2.11
,,,2.14
,,,2.06
,,,2.06
5.7,14537.58,2.937194,2.13
,,,2.13
,,,2.13
,,,2.08
,,,2.01
,,,2.04
,,,2.04
,,,2.1
,,,2.25
,,,
,,,2.39
,,,2.4
,,,2.49
,,,2.47
,,,2.53
,,,2.58
,,,2.58
,,,2.51
,,,2.48
,,,2.51
,,,2.46
,,,2.48
,,,2.49
5.9,,2.824322,2.58
,,,2.64
,,,2.68
,,,2.86
,,,2.66
,,,2.63
,,,
,,,2.62
,,,2.63
,,,2.81
,,,2.83
,,,2.79
,,,2.78
,,,2.86
,,,2.92
,,,2.95
,,,2.95
,,,2.86
,,,3.03
,,,
,,,3.0
6.0,,2.792164,
,,,2.98
,,,3.01
,,,2.96
,,,2.91
,,,2.88
,,,2.83
,,,2.85
,,,2.8
,,,2.8
,,,2.86
,,,2.92
,,,2.91
,,,2.85
,,,2.75
,,,2.76
,,,2.79
,,,2.76
,,,
,,,2.75
,,,2.67
,,,2.6
,,,2.61
5.8,14614.141,2.778159,
,,,2.85
,,,2.83
,,,2.88
,,,2.85
,,,2.81
,,,2.99
,,,2.96
,,,2.94
,,,2.91
,,,2.9
,,,2.92
,,,2.87
,,,
,,,2.82
,,,2.78
,,,2.81
,,,2.78
,,,2.81
,,,2.82
,,,2.88
,,,2.82
,,,2.82
5.9,,2.69562,
,,,2.83
,,,2.8
,,,2.84
,,,2.8
,,,2.79
,,,2.82
,,,2.8
,,,2.75
,,,2.72
,,,2.77
,,,
,,,2.75
,,,2.7
,,,2.66
,,,2.71
,,,2.65
,,,2.61
,,,2.57
,,,2.55
,,,2.51
5.9,,2.619135,
,,,2.48
,,,2.46
,,,2.45
,,,2.49
,,,2.51
,,,2.51
,,,2.5
,,,2.5
,,,2.62
,,,2.59
,,,2.67
,,,2.77
,,,2.82
,,,2.84
,,,2.93
,,,2.81
,,,2.79
,,,2.78
,,,2.79
,,,2.78
,,,2.69
6.0,14743.567,2.450573,2.72
,,,2.81
,,,2.82
,,,2.85
,,,2.86
,,,2.8
,,,2.8
,,,2.81
,,,2.83
,,,2.84
,,,2.8
,,,2.79
,,,2.8
,,,
,,,2.82
,,,2.83
,,,2.85
,,,2.78
,,,2.77
,,,2.78
,,,2.81
,,,2.76
6.1,,2.338588,2.78
,,,2.82
,,,2.79
,,,2.74
,,,2.61
,,,2.61
,,,2.58
,,,2.54
,,,2.54
,,,2.47
,,,2.47
,,,2.41
,,,2.41
,,,2.34
,,,2.33
,,,2.26
,,,2.26
,,,
,,,2.32
,,,2.32
,,,2.24
,,,2.26
6.3,,2.261697,
,,,2.29
,,,2.26
,,,2.25
,,,2.3
,,,2.32
,,,2.26
,,,2.23
,,,2.27
,,,2.26
,,,2.27
,,,2.31
,,,2.37
,,,2.48
,,,2.54
,,,2.57
,,,2.47
,,,2.46
,,,2.46
,,,2.64
,,,2.71
,,,2.64
6.2,14988.782,2.228217,2.67
,,,2.69
,,,2.8
,,,
,,,2.82
,,,2.83
,,,2.83
,,,2.81
,,,2.77
,,,2.83
,,,3.02
