U n e m p l o y m e n t   U N R A T E,R e a l   G D P   G D P C 1,I n f l a t i o n   C O R E S T I C K M 1 5 9 S F R B A T L,1 0 - 3   Y i e l d   C u r v e   T 1 0 Y 3 M
,,,0.99
,,,1.0
,,,
,,,1.03
,,,1.01
,,,1.01
,,,1.01
,,,1.06
,,,1.02
6.3,,5.651092078,
,,,0.94
,,,0.96
,,,0.93
,,,0.96
,,,0.93
,,,0.91
,,,0.88
,,,0.91
,,,0.93
,,,0.99
,,,1.0
,,,1.05
,,,1.17
,,,1.3
,,,1.32
,,,1.47
,,,
,,,1.47
,,,1.44
,,,1.5
,,,1.45
6.4,9951.916,5.815290409,
,,,1.31
,,,1.29
,,,1.29
,,,1.42
,,,1.52
,,,1.81
,,,1.76
,,,1.86
,,,1.99
,,,1.99
,,,2.02
,,,1.75
,,,1.79
,,,
,,,1.83
,,,1.72
,,,1.69
,,,1.71
,,,1.62
,,,1.64
,,,1.66
,,,1.66
6.6,,5.8623588,1.74
,,,1.73
,,,1.7
,,,1.71
,,,1.71
,,,1.68
,,,1.73
,,,1.76
,,,1.75
,,,1.78
,,,1.7
,,,
,,,1.67
,,,1.73
,,,1.79
,,,1.79
,,,1.75
,,,1.74
,,,1.77
,,,1.8
6.8,,5.474284579,1.85
,,,1.88
,,,1.83
,,,1.83
,,,1.8
,,,1.97
,,,1.98
,,,2.04
,,,2.0
,,,2.08
,,,2.12
,,,2.12
,,,2.17
,,,2.13
,,,2.1
,,,2.07
,,,2.06
,,,2.08
,,,2.09
,,,2.13
,,,
6.7,10029.51,5.276160434,2.13
,,,2.08
,,,2.1
,,,2.08
,,,2.1
,,,2.15
,,,2.24
,,,2.31
,,,2.35
,,,2.3
,,,2.18
,,,2.18
,,,2.22
,,,2.18
,,,2.17
,,,2.28
,,,2.23
,,,2.22
,,,2.29
,,,2.27
,,,2.3
,,,2.34
6.9,,5.222445891,2.3
,,,2.34
,,,2.4
,,,2.41
,,,2.39
,,,2.37
,,,2.37
,,,2.47
,,,2.42
,,,2.48
,,,2.51
,,,2.55
,,,2.51
,,,2.47
,,,2.39
,,,2.43
,,,2.53
,,,2.53
,,,
,,,2.48
,,,2.45
,,,2.4
,,,2.35
6.9,,4.934653949,
,,,2.35
,,,2.4
,,,2.43
,,,2.49
,,,2.55
,,,2.52
,,,2.55
,,,2.63
,,,2.58
,,,2.52
,,,2.52
,,,2.52
,,,2.59
,,,2.56
,,,2.57
,,,2.58
,,,2.58
,,,2.6
,,,2.59
,,,2.53
6.8,10080.195,4.713410392,2.5
,,,2.52
,,,2.53
,,,
,,,2.58
,,,2.59
,,,2.6
,,,2.6
,,,2.56
,,,2.54
,,,2.51
,,,2.51
,,,2.51
,,,2.54
,,,2.52
,,,2.52
,,,2.55
,,,2.49
,,,2.44
,,,2.44
,,,2.45
,,,2.48
,,,2.5
6.9,,4.393094508,2.48
,,,2.43
,,,2.36
,,,2.39
,,,2.38
,,,2.44
,,,2.5
,,,2.47
,,,2.46
,,,2.37
,,,2.38
,,,2.42
,,,2.56
,,,2.55
,,,2.36
,,,2.31
,,,2.32
,,,2.33
,,,2.34
,,,2.36
,,,2.31
,,,2.33
6.9,,4.443594793,
,,,
,,,2.3
,,,2.32
,,,2.35
,,,2.31
,,,2.29
,,,2.33
,,,2.32
,,,2.29
,,,2.35
,,,2.29
,,,2.27
,,,2.28
,,,2.25
,,,2.22
,,,2.18
,,,2.23
,,,2.25
,,,2.28
,,,2.21
,,,2.21
7.0,10115.329,4.288991989,2.2
,,,2.23
,,,2.28
,,,2.22
,,,2.22
,,,2.26
,,,2.35
,,,2.4
,,,2.35
,,,
,,,2.33
,,,2.33
,,,2.37
,,,2.35
,,,2.43
,,,2.46
,,,2.5
,,,2.53
,,,2.57
,,,2.56
,,,2.48
,,,2.5
,,,2.51
7.0,,4.34967757,2.59
,,,2.62
,,,2.66
,,,2.75
,,,2.67
,,,2.66
,,,
,,,2.6
,,,2.65
,,,2.59
,,,2.61
,,,2.62
,,,2.71
,,,2.76
,,,2.83
,,,2.89
,,,2.9
,,,2.9
,,,2.91
,,,
,,,2.91
7.3,,4.346967664,
,,,2.81
,,,2.8
,,,2.74
,,,2.78
,,,2.9
,,,2.94
,,,2.89
,,,2.96
,,,2.93
,,,2.96
,,,2.96
,,,2.96
,,,2.96
,,,2.96
,,,3.13
,,,3.01
,,,2.97
,,,
,,,2.93
,,,2.86
,,,2.79
,,,2.75
7.3,10236.435,4.052308746,
,,,2.82
,,,2.9
,,,2.9
,,,2.91
,,,2.95
,,,2.92
,,,2.93
,,,3.0
,,,3.11
,,,3.11
,,,3.24
,,,3.2
,,,
,,,3.17
,,,3.24
,,,3.33
,,,3.34
,,,3.31
,,,3.23
,,,3.29
,,,3.38
,,,3.37
7.4,,3.861765064,
,,,3.4
,,,3.35
,,,3.27
,,,3.29
,,,3.36
,,,3.38
,,,3.38
,,,3.45
,,,3.51
,,,3.52
,,,
,,,3.54
,,,3.47
,,,3.43
,,,3.42
,,,3.4
,,,3.37
,,,3.28
,,,3.31
,,,3.24
7.4,,3.975844252,
,,,3.24
,,,3.29
,,,3.3
,,,3.37
,,,3.34
,,,3.32
,,,3.32
,,,3.4
,,,3.5
,,,3.55
,,,3.51
,,,3.46
,,,3.47
,,,3.42
,,,3.48
,,,3.45
,,,3.38
,,,3.42
,,,3.46
,,,3.43
,,,3.38
,,,3.39
7.4,10347.429,4.066438773,3.35
,,,3.35
,,,3.36
,,,3.38
,,,3.45
,,,3.48
,,,3.6
,,,3.63
,,,3.63
,,,3.65
,,,3.67
,,,3.72
,,,
,,,3.8
,,,3.81
,,,3.8
,,,3.83
,,,3.79
,,,3.78
,,,3.77
,,,3.8
,,,3.82
7.6,,3.926410529,3.84
,,,3.87
,,,3.84
,,,3.76
,,,3.78
,,,3.69
,,,3.66
,,,3.66
,,,3.67
,,,3.69
,,,3.62
,,,3.59
,,,3.58
,,,3.6
,,,3.63
,,,3.58
,,,
,,,3.62
,,,3.65
,,,3.59
,,,3.54
7.8,,3.860188559,3.57
,,,3.52
,,,3.54
,,,3.56
,,,3.54
,,,3.53
,,,3.56
,,,3.58
,,,3.58
,,,3.54
,,,3.53
,,,3.52
,,,3.53
,,,3.5
,,,3.5
,,,3.49
,,,3.48
,,,3.48
,,,3.43
,,,3.44
,,,3.46
,,,3.49
7.7,10449.673,3.769367667,3.47
,,,3.62
,,,
,,,3.61
,,,3.59
,,,3.62
,,,3.63
,,,3.64
,,,3.68
,,,3.69
,,,3.65
,,,3.63
,,,3.67
,,,3.64
,,,3.63
,,,3.61
,,,3.49
,,,3.5
,,,3.43
,,,3.37
,,,3.35
,,,3.44
,,,3.47
7.6,,3.628120085,
,,,3.47
,,,3.42
,,,3.4
,,,3.42
,,,3.36
,,,3.32
,,,3.3
,,,3.29
,,,3.39
,,,3.4
,,,3.4
,,,3.34
,,,3.32
,,,3.31
,,,3.39
,,,3.45
,,,3.49
,,,3.45
,,,3.41
,,,3.4
,,,3.39
7.6,,3.349237754,3.34
,,,3.33
,,,3.33
,,,3.42
,,,
,,,3.33
,,,3.34
,,,3.34
,,,3.39
,,,3.37
,,,3.42
,,,3.45
,,,3.46
,,,3.47
,,,3.45
,,,3.52
,,,3.56
,,,3.53
,,,3.55
,,,3.58
,,,3.58
,,,3.62
7.3,10558.648,3.6359146,3.56
,,,3.57
,,,3.49
,,,3.51
,,,3.57
,,,3.56
,,,3.63
,,,
,,,3.56
,,,3.52
,,,3.55
,,,3.63
,,,3.65
,,,3.77
,,,3.81
,,,3.76
,,,3.83
,,,3.81
,,,3.78
,,,3.76
,,,3.69
,,,3.77
7.4,,3.629469745,
,,,3.8
,,,3.77
,,,3.8
,,,3.79
,,,3.84
,,,3.83
,,,3.76
,,,
,,,3.66
,,,3.67
,,,3.68
,,,3.62
,,,3.56
,,,3.59
,,,3.56
,,,3.52
,,,3.53
,,,3.53
,,,
,,,3.6
,,,3.57
7.4,,3.478262556,3.54
,,,3.51
,,,3.54
,,,3.52
,,,3.43
,,,3.4
,,,3.46
,,,3.48
,,,3.48
,,,3.5
,,,3.54
,,,3.49
,,,3.5
,,,3.53
,,,3.46
,,,3.38
,,,3.43
,,,3.46
,,,
,,,3.42
,,,3.42
,,,3.49
,,,3.55
7.3,10576.275,3.528455109,
,,,3.41
,,,3.43
,,,3.46
,,,3.57
,,,3.62
,,,3.59
,,,3.63
,,,3.65
,,,3.61
,,,3.6
,,,
,,,3.49
,,,3.53
,,,3.55
,,,3.54
,,,3.46
,,,3.49
,,,3.51
,,,3.48
,,,3.43
7.1,,3.561853788,3.37
,,,3.44
,,,3.46
,,,3.43
,,,3.36
,,,3.37
,,,3.42
,,,3.4
,,,3.39
,,,3.36
,,,
,,,3.34
,,,3.31
,,,3.22
,,,3.16
,,,3.08
,,,2.92
,,,2.99
,,,3.02
,,,3.02
7.0,,3.334428143,2.91
,,,2.92
,,,2.88
,,,2.86
,,,2.83
,,,2.8
,,,2.86
,,,2.93
,,,2.93
,,,3.07
,,,3.11
,,,3.02
,,,2.98
,,,2.92
,,,2.92
,,,2.97
,,,2.93
,,,2.97
,,,3.01
,,,3.09
,,,3.06
,,,3.05
,,,3.08
7.1,10637.847,3.404237829,3.1
,,,3.19
,,,3.16
,,,3.1
,,,3.09
,,,3.01
,,,
,,,2.98
,,,3.02
,,,3.02
,,,2.98
,,,2.99
,,,3.0
,,,3.02
,,,3.0
,,,2.97
,,,2.99
,,,2.99
,,,3.05
,,,3.05
,,,3.03
,,,3.08
7.1,,3.532736691,
,,,3.03
,,,2.99
,,,2.98
,,,2.97
,,,2.99
,,,2.94
,,,2.94
,,,3.0
,,,3.03
,,,3.0
,,,2.99
,,,3.07
,,,3.08
,,,3.06
,,,3.09
,,,3.01
,,,3.03
,,,3.0
,,,2.98
,,,3.03
,,,
7.0,,3.569326945,2.93
,,,2.92
,,,2.92
,,,2.93
,,,2.88
,,,2.89
,,,2.89
,,,2.89
,,,2.85
,,,2.84
,,,2.84
,,,2.85
,,,2.83
,,,2.84
,,,2.75
,,,2.75
,,,2.72
,,,2.71
,,,2.69
,,,2.69
,,,2.69
,,,2.7
6.9,10688.606,3.422616714,2.74
,,,2.74
,,,
,,,2.68
,,,2.69
,,,2.69
,,,2.67
,,,2.65
,,,2.67
,,,2.64
,,,2.64
,,,2.63
,,,2.59
,,,2.62
,,,2.69
,,,2.74
,,,2.79
,,,2.76
,,,2.75
,,,2.75
,,,2.72
,,,2.73
6.8,,3.508810757,
,,,2.68
,,,2.68
,,,2.72
,,,2.74
,,,2.75
,,,2.71
,,,2.72
,,,2.66
,,,2.69
,,,2.63
,,,2.58
,,,2.62
,,,2.64
,,,2.59
,,,2.55
,,,2.52
,,,2.49
,,,2.47
,,,2.36
,,,2.39
,,,2.36
,,,2.37
6.7,,3.642383692,2.38
,,,2.36
,,,2.31
,,,
,,,2.22
,,,2.21
,,,2.31
,,,2.27
,,,2.22
,,,2.32
,,,2.37
,,,2.36
,,,2.37
,,,2.42
,,,2.49
,,,2.47
,,,2.43
,,,2.43
,,,2.34
,,,2.32
,,,2.36
,,,2.42
6.8,10833.987,3.424737275,2.36
,,,2.32
,,,2.29
,,,2.31
,,,2.28
,,,2.21
,,,
,,,2.15
,,,2.17
,,,2.15
,,,2.11
,,,2.14
,,,2.14
,,,2.15
,,,2.23
,,,2.31
,,,2.33
,,,2.27
,,,2.29
,,,2.3
,,,2.33
6.6,,3.436277096,2.38
,,,2.44
,,,2.51
,,,2.52
,,,2.62
,,,2.53
,,,2.46
,,,2.53
,,,
,,,2.48
,,,2.51
,,,2.5
,,,2.49
,,,2.54
,,,2.64
,,,2.68
,,,2.63
,,,2.65
,,,
,,,2.6
,,,2.56
,,,2.62
6.5,,3.548475916,2.63
,,,2.63
,,,2.62
,,,2.54
,,,2.55
,,,2.56
,,,2.55
,,,2.61
,,,2.66
,,,2.71
,,,2.73
,,,2.74
,,,2.72
,,,2.68
,,,2.71
,,,2.61
,,,2.59
,,,
,,,2.59
,,,2.59
,,,2.66
,,,2.78
,,,2.76
6.6,10939.116,3.375759896,
,,,2.76
,,,2.73
,,,2.76
,,,2.72
,,,2.63
,,,2.61
,,,2.63
,,,2.58
,,,2.7
,,,2.75
,,,
,,,2.7
,,,2.73
,,,2.7
,,,2.72
,,,2.73
,,,2.79
,,,2.79
,,,2.75
,,,2.69
,,,2.65
6.6,,3.415920384,2.67
,,,2.64
,,,2.61
,,,2.64
,,,2.65
,,,2.69
,,,2.6
,,,2.58
,,,2.55
,,,2.56
,,,2.54
,,,2.55
,,,2.65
,,,2.73
,,,
,,,2.65
,,,2.67
,,,2.78
,,,2.77
,,,2.68
6.5,,3.570150943,2.7
,,,2.75
,,,2.79
,,,2.76
,,,2.71
,,,2.75
,,,2.77
,,,2.91
,,,2.88
,,,2.84
,,,2.81
,,,2.79
,,,2.85
,,,2.92
,,,2.85
,,,2.84
,,,2.9
,,,3.05
,,,3.04
,,,3.06
,,,3.12
,,,3.21
,,,3.21
6.4,11087.361,3.354397547,
,,,3.34
,,,3.22
,,,3.26
,,,3.25
,,,3.29
,,,3.24
,,,3.23
,,,3.29
,,,3.31
,,,3.29
,,,3.3
,,,3.27
,,,3.22
,,,3.08
,,,3.09
,,,2.92
,,,2.89
,,,
,,,3.06
,,,3.09
6.1,,3.225532887,
,,,2.99
,,,3.01
,,,2.99
,,,2.98
,,,3.05
,,,3.05
,,,2.98
,,,3.08
,,,3.12
,,,3.05
,,,2.93
,,,2.73
,,,2.74
,,,2.72
,,,2.76
,,,2.84
,,,2.85
,,,2.86
,,,2.82
,,,2.82
,,,
,,,2.86
6.1,,3.194738495,2.84
,,,2.83
,,,2.75
,,,2.66
,,,2.73
,,,2.75
,,,2.75
,,,2.81
,,,2.83
,,,2.79
,,,2.87
,,,2.85
,,,2.91
,,,2.88
,,,2.92
,,,2.85
,,,2.84
,,,2.94
,,,2.9
,,,2.98
,,,2.99
,,,3.08
6.1,11152.176,3.233880147,3.02
,,,
,,,2.89
,,,2.93
,,,2.94
,,,2.93
,,,2.86
,,,2.87
,,,2.89
,,,2.84
,,,2.87
,,,2.8
,,,2.78
,,,2.84
,,,2.83
,,,2.79
,,,2.74
,,,2.76
,,,2.77
,,,2.75
,,,2.73
6.0,,3.306714086,2.68
,,,2.67
,,,2.65
,,,2.69
,,,2.69
,,,2.69
,,,2.77
,,,2.81
,,,2.9
,,,2.76
,,,2.58
,,,2.45
,,,2.46
,,,2.57
,,,2.58
,,,2.58
,,,2.59
,,,2.56
,,,2.61
,,,2.56
,,,2.51
,,,2.49
,,,2.51
5.9,,3.254281644,2.52
,,,2.54
,,,
,,,2.58
,,,2.63
,,,2.63
,,,2.74
,,,2.71
,,,2.72
,,,2.71
,,,2.65
,,,2.79
,,,2.77
,,,2.79
,,,2.64
,,,2.64
,,,2.66
,,,2.65
,,,2.78
,,,2.91
,,,2.94
,,,2.82
